iter	Passed	Remaining
0	5	5958
1	10	5377
2	15	5205
3	20	5099
4	25	5002
5	30	4980
6	35	5001
7	39	4901
8	43	4839
9	48	4790
10	53	4765
11	57	4724
12	61	4696
13	66	4660
14	70	4623
15	75	4612
16	79	4577
17	84	4594
18	88	4573
19	92	4551
20	97	4557
21	102	4552
22	106	4534
23	111	4525
24	116	4529
25	120	4520
26	124	4503
27	129	4495
28	134	4495
29	139	4495
30	144	4507
31	149	4528
32	155	4556
33	160	4570
34	165	4570
35	170	4556
36	174	4552
37	179	4541
38	183	4533
39	189	4543
40	194	4552
41	199	4550
42	203	4538
43	208	4527
44	213	4528
45	218	4522
46	222	4509
47	226	4495
48	231	4489
49	236	4488
50	240	4473
51	244	4456
52	248	4444
53	253	4437
54	257	4426
55	262	4420
56	268	4444
57	273	4438
58	277	4428
59	282	4431
60	287	4429
61	292	4421
62	296	4412
63	301	4406
64	305	4399
65	310	4391
66	314	4381
67	318	4370
68	323	4359
69	327	4354
70	332	4348
71	337	4344
72	341	4337
73	345	4329
74	349	4316
75	354	4307
76	358	4300
77	363	4292
78	367	4285
79	371	4277
80	376	4270
81	380	4263
82	386	4268
83	391	4269
84	396	4266
85	400	4259
86	404	4249
87	409	4240
88	413	4233
89	417	4226
90	422	4223
91	427	4215
92	431	4206
93	435	4201
94	440	4194
95	444	4184
96	448	4176
97	454	4179
98	458	4175
99	462	4165
100	467	4157
101	471	4151
102	475	4145
103	480	4141
104	487	4158
105	493	4163
106	501	4183
107	508	4196
108	514	4209
109	521	4220
110	527	4228
111	534	4234
112	541	4252
113	552	4293
114	563	4339
115	576	4390
116	587	4431
117	597	4466
118	609	4513
119	616	4522
120	626	4549
121	632	4552
122	637	4548
123	642	4540
124	647	4531
125	652	4524
126	657	4517
127	661	4508
128	666	4499
129	670	4488
130	674	4476
131	679	4465
132	683	4458
133	688	4448
134	692	4438
135	697	4432
136	702	4424
137	706	4414
138	711	4406
139	716	4398
140	720	4390
141	724	4379
142	729	4370
143	734	4363
144	738	4355
145	743	4348
146	747	4337
147	752	4329
148	756	4319
149	760	4310
150	765	4303
151	770	4295
152	774	4288
153	778	4278
154	783	4270
155	787	4262
156	792	4253
157	796	4244
158	800	4233
159	805	4229
160	810	4222
161	814	4213
162	819	4207
163	824	4202
164	828	4194
165	833	4186
166	837	4176
167	841	4168
168	846	4160
169	850	4152
170	855	4145
171	859	4137
172	863	4128
173	868	4120
174	872	4114
175	877	4107
176	881	4100
177	886	4092
178	890	4084
179	895	4078
180	899	4070
181	903	4062
182	908	4054
183	912	4047
184	916	4038
185	920	4030
186	925	4022
187	929	4015
188	933	4006
189	938	4000
190	942	3992
191	946	3984
192	951	3976
193	955	3970
194	960	3964
195	964	3957
196	969	3950
197	973	3943
198	978	3937
199	982	3930
200	987	3924
201	991	3918
202	996	3911
203	1000	3903
204	1004	3896
205	1008	3889
206	1013	3882
207	1017	3876
208	1022	3871
209	1027	3866
210	1032	3859
211	1037	3854
212	1041	3848
213	1046	3842
214	1050	3835
215	1054	3827
216	1058	3820
217	1063	3814
218	1067	3806
219	1071	3800
220	1076	3794
221	1080	3787
222	1085	3781
223	1090	3776
224	1094	3770
225	1099	3764
226	1103	3758
227	1107	3750
228	1112	3744
229	1116	3737
230	1120	3729
231	1124	3722
232	1129	3717
233	1133	3709
234	1137	3702
235	1141	3696
236	1145	3689
237	1150	3683
238	1154	3677
239	1159	3670
240	1163	3665
241	1168	3659
242	1172	3653
243	1176	3646
244	1181	3639
245	1185	3633
246	1190	3628
247	1194	3623
248	1199	3617
249	1204	3612
250	1208	3606
251	1213	3601
252	1217	3595
253	1222	3589
254	1227	3585
255	1231	3580
256	1236	3575
257	1241	3571
258	1246	3564
259	1250	3557
260	1255	3553
261	1259	3548
262	1264	3542
263	1268	3536
264	1272	3530
265	1277	3524
266	1281	3517
267	1285	3510
268	1289	3505
269	1294	3499
270	1299	3495
271	1304	3490
272	1308	3484
273	1312	3478
274	1316	3472
275	1321	3466
276	1325	3460
277	1330	3454
278	1334	3449
279	1339	3443
280	1343	3436
281	1347	3431
282	1351	3425
283	1356	3419
284	1360	3413
285	1365	3408
286	1369	3401
287	1373	3395
288	1377	3389
289	1382	3383
290	1386	3378
291	1390	3372
292	1395	3368
293	1400	3362
294	1405	3357
295	1409	3352
296	1414	3347
297	1418	3341
298	1422	3335
299	1426	3329
300	1431	3323
301	1435	3318
302	1440	3312
303	1445	3308
304	1449	3302
305	1453	3297
306	1458	3291
307	1462	3286
308	1467	3281
309	1471	3275
310	1476	3270
311	1480	3265
312	1485	3259
313	1489	3253
314	1493	3247
315	1498	3242
316	1502	3238
317	1507	3232
318	1511	3226
319	1516	3221
320	1520	3215
321	1524	3210
322	1528	3204
323	1533	3199
324	1538	3194
325	1542	3188
326	1546	3183
327	1551	3177
328	1555	3172
329	1560	3167
330	1564	3162
331	1568	3156
332	1573	3151
333	1577	3145
334	1581	3139
335	1585	3134
336	1590	3128
337	1594	3123
338	1598	3117
339	1603	3113
340	1608	3108
341	1613	3104
342	1617	3098
343	1621	3092
344	1626	3088
345	1630	3082
346	1634	3076
347	1639	3071
348	1644	3067
349	1649	3062
350	1653	3058
351	1658	3052
352	1662	3047
353	1666	3041
354	1671	3036
355	1675	3031
356	1680	3026
357	1684	3021
358	1689	3016
359	1693	3011
360	1698	3005
361	1702	3000
362	1707	2995
363	1712	2991
364	1716	2986
365	1720	2980
366	1725	2975
367	1729	2971
368	1734	2966
369	1739	2961
370	1743	2955
371	1747	2950
372	1752	2945
373	1757	2941
374	1761	2935
375	1766	2930
376	1770	2926
377	1775	2920
378	1780	2917
379	1785	2913
380	1790	2908
381	1795	2905
382	1800	2900
383	1804	2895
384	1809	2889
385	1813	2884
386	1818	2880
387	1822	2874
388	1826	2869
389	1830	2863
390	1835	2858
391	1839	2853
392	1843	2847
393	1848	2842
394	1852	2837
395	1857	2832
396	1861	2827
397	1865	2822
398	1870	2817
399	1874	2811
400	1878	2806
401	1883	2801
402	1888	2797
403	1892	2792
404	1897	2787
405	1901	2782
406	1906	2777
407	1911	2772
408	1915	2768
409	1920	2764
410	1925	2758
411	1929	2754
412	1934	2749
413	1938	2744
414	1943	2739
415	1947	2734
416	1952	2730
417	1957	2725
418	1961	2720
419	1965	2714
420	1969	2709
421	1974	2704
422	1978	2699
423	1983	2694
424	1987	2689
425	1992	2684
426	1996	2679
427	2000	2674
428	2005	2669
429	2009	2664
430	2014	2658
431	2018	2653
432	2022	2648
433	2027	2644
434	2032	2639
435	2036	2634
436	2041	2629
437	2045	2624
438	2049	2619
439	2053	2614
440	2058	2609
441	2062	2604
442	2067	2599
443	2072	2595
444	2076	2590
445	2081	2585
446	2086	2581
447	2091	2577
448	2096	2572
449	2101	2568
450	2106	2563
451	2110	2559
452	2114	2553
453	2119	2548
454	2123	2543
455	2128	2538
456	2132	2533
457	2137	2529
458	2141	2524
459	2146	2519
460	2150	2514
461	2154	2509
462	2159	2504
463	2163	2499
464	2168	2494
465	2172	2489
466	2176	2484
467	2181	2479
468	2185	2474
469	2189	2469
470	2194	2464
471	2198	2459
472	2203	2454
473	2207	2449
474	2211	2444
475	2216	2439
476	2220	2434
477	2224	2429
478	2229	2424
479	2233	2419
480	2238	2415
481	2243	2410
482	2247	2405
483	2252	2400
484	2256	2395
485	2260	2391
486	2265	2386
487	2269	2381
488	2274	2376
489	2278	2371
490	2282	2366
491	2287	2361
492	2291	2357
493	2297	2352
494	2301	2348
495	2306	2343
496	2310	2338
497	2314	2333
498	2319	2328
499	2323	2323
500	2327	2318
501	2331	2312
502	2335	2307
503	2340	2303
504	2344	2298
505	2349	2293
506	2354	2289
507	2358	2284
508	2362	2279
509	2367	2274
510	2371	2269
511	2375	2264
512	2380	2259
513	2384	2254
514	2388	2249
515	2393	2244
516	2397	2240
517	2402	2235
518	2406	2230
519	2410	2225
520	2414	2220
521	2419	2215
522	2423	2210
523	2428	2205
524	2432	2200
525	2436	2195
526	2440	2190
527	2445	2185
528	2449	2180
529	2453	2175
530	2458	2171
531	2462	2166
532	2466	2161
533	2471	2156
534	2475	2151
535	2480	2147
536	2484	2142
537	2489	2137
538	2494	2133
539	2499	2128
540	2503	2124
541	2507	2119
542	2512	2114
543	2516	2109
544	2520	2104
545	2524	2099
546	2529	2094
547	2533	2089
548	2538	2084
549	2542	2080
550	2546	2075
551	2550	2070
552	2555	2065
553	2559	2060
554	2564	2056
555	2568	2051
556	2572	2046
557	2577	2041
558	2581	2036
559	2586	2032
560	2591	2027
561	2595	2022
562	2599	2017
563	2604	2013
564	2608	2008
565	2612	2003
566	2617	1998
567	2621	1993
568	2625	1989
569	2630	1984
570	2635	1980
571	2640	1975
572	2644	1970
573	2649	1966
574	2654	1961
575	2658	1957
576	2663	1952
577	2668	1948
578	2673	1943
579	2678	1939
580	2682	1934
581	2687	1930
582	2691	1925
583	2696	1920
584	2700	1915
585	2705	1911
586	2709	1906
587	2713	1901
588	2717	1896
589	2722	1891
590	2726	1886
591	2730	1881
592	2734	1876
593	2739	1872
594	2743	1867
595	2747	1862
596	2752	1857
597	2756	1853
598	2760	1848
599	2765	1843
600	2769	1838
601	2774	1834
602	2779	1829
603	2783	1825
604	2788	1820
605	2792	1815
606	2796	1810
607	2802	1806
608	2806	1802
609	2811	1797
610	2815	1792
611	2820	1787
612	2824	1783
613	2829	1778
614	2833	1773
615	2838	1769
616	2842	1764
617	2846	1759
618	2851	1754
619	2855	1750
620	2859	1745
621	2864	1740
622	2868	1736
623	2873	1731
624	2877	1726
625	2882	1722
626	2886	1717
627	2891	1712
628	2895	1707
629	2900	1703
630	2904	1698
631	2909	1694
632	2913	1689
633	2917	1684
634	2922	1679
635	2926	1674
636	2930	1670
637	2935	1665
638	2939	1660
639	2944	1656
640	2948	1651
641	2953	1646
642	2958	1642
643	2962	1637
644	2967	1633
645	2971	1628
646	2976	1623
647	2981	1619
648	2985	1614
649	2990	1610
650	2995	1605
651	2999	1601
652	3004	1596
653	3008	1591
654	3013	1587
655	3017	1582
656	3021	1577
657	3025	1572
658	3030	1567
659	3034	1563
660	3038	1558
661	3043	1553
662	3047	1549
663	3051	1544
664	3056	1539
665	3060	1534
666	3065	1530
667	3069	1525
668	3074	1521
669	3078	1516
670	3083	1511
671	3087	1507
672	3092	1502
673	3097	1498
674	3101	1493
675	3106	1488
676	3111	1484
